idsupermercado;nombreproducto;precioproducto;precioporunidadproducto
1;Queso de untar natural light Dia Láctea tarrina 250 g;1.25;5.00
1;Crema con queso camembert Dia Láctea tarrina 125 g;1.49;11.92
1;Queso fundido light en porciones Dia Láctea caja 250 g;1.68;6.72
1;Crema con queso semicurado Dia Láctea tarrina 125 g;1.49;11.92
1;Queso fundido en porciones Dia Láctea caja 375 g;2.21;5.89
1;Queso fundido en porciones Dia Láctea caja 250 g;1.65;6.60
1;Mini queso tierno snack Babybel malla 120 g;2.99;24.92
1;Queso de untar blanco con piña Castello tarrina 125 g;1.99;15.92
1;Queso de untar light Philadelphia tarrina 350 g;3.69;10.54
1;Queso fundido light en porciones La Vaca que ríe caja 250 g;2.99;11.96
1;Mousse de queso con nueces President Bon délice tarrina 125 g;2.09;16.72
1;Preparado de queso quark con fresa alto en proteínas Dia Láctea tarrina 200 g;1.35;6.75
1;Queso de untar light Philadelphia tarrina 250 g;2.78;11.12
1;Preparado de queso quark con melocotón y maracuyá alto en proteínas Dia Láctea tarrina 200 g;1.35;6.75
1;Preparado de queso quark con frambuesa alto en proteínas Dia Láctea tarrina 200 g;1.35;6.75
1;Snack de queso curado Gran moravia bolsa 100 g;1.99;19.90
1;Crema de untar vegetal Philadelphia tarrina 145 g;2.99;20.62
1;Queso fundido light en porciones El caserío caja 250 g;2.50;10.00
1;Queso edam Selección Mundial de Dia sobre 240 g;1.92;8.00
1;Queso Munster Quesería del Mundo 125 g;2.49;19.92
1;Queso gouda cominos Quesería del Mundo 175 g;2.49;14.23
1;Queso Wensleydale con arándanos Quesería del Mundo 150 g;2.99;19.93
1;Queso mascarpone gorgonzola Quesería del Mundo 180 g;2.99;16.61
1;Queso gouda Selección Mundial de Dia sobre 240 g;1.99;8.29
1;Queso cheddar Selección Mundial de Dia sobre 160 g;1.99;12.44
1;Queso brie Selección Mundial de Dia 200 g;1.75;8.75
1;Queso emmental Selección Mundial de Dia bolsa 220 g;1.98;9.00
1;Queso curado italiano Selección Mundial de Dia bandeja 200 g;3.19;15.95
1;Queso feta D.O.P. Selección Mundial de Dia bolsa 150 g;2.45;16.33
1;Queso parmigiano reggiano D.O.P. Selección Mundial de Dia bandeja 150 g;4.15;27.67
1;Queso ahumado Talkäse Selección Mundial de Dia sobre 120 g;1.99;16.58
1;Queso cheddar extra mature Selección Mundial de Dia bolsa 200 g;2.39;11.95
1;Queso gouda viejo Selección Mundial de Dia bolsa 200 g;2.89;14.45
1;Queso havarti light Selección Mundial de Dia sobre 160 g;2.05;12.81
1;Queso parmigiano reggiano D.O.P. en escamas Selección Mundial de Dia tarrina 80 g;2.15;26.88
1;Ricotta Selección Mundial de Dia tarrina 250 g;1.99;7.96
1;Queso mozzarella di bufala campana D.O.P. Selección Mundial de Dia tarrina 125 g;1.85;14.80
1;Mini fondue recette Savoyarde Le rustique tarrina 150 g;1.99;13.27
1;Queso brie con trufa 180 g;3.99;22.17
1;Queso mascarpone Selección Mundial de Dia tarrina 250 g;2.65;10.60
1;Salchichas frankfurt Funky Frank de Dia bolsa 2 x 160 g;0.99;3.09
1;Salchichas cocidas frankfurt Campofrío bolsa 4 x 140 g;2.45;4.38
1;Salchichas frankfurt con queso Funky Frank de Dia bolsa 2 x 140 g;0.99;3.54
1;Salchichas viena con queso Funky Frank de Dia bolsa 200 g;0.75;3.75
1;Salchichas big queso Elpozo King upp bolsa 3 x 200 g;2.50;4.17
1;Salchichas cocidas jumbo classic Oscar mayer bolsa 350 g;2.55;7.29
1;Salchichas frankfurt de pavo Funky Frank de Dia bolsa 2 x 140 g;0.99;3.54
1;Salchichas viena de pollo Funky Frank de Dia bolsa 200 g;0.75;3.75
1;Salchichas big classic Elpozo King upp bolsa 3 x 200 g;2.50;4.17
1;Salchichas bratwurst Selección Mundial de Dia bolsa 270 g;2.99;11.07
1;Salchichas 82% carne hot dog Casa westfalia bolsa 150 g;2.49;16.60
1;Salchichas 75% pollo y pavo hot dog Casa westfalia bolsa 180 g;2.59;14.39
1;Salchichas veganas Revolu green bolsa 170 g;2.79;16.41
1;Salchicha alemana cocktail Selección Mundial de Dia frasco 150 g;2.49;16.60
1;Salchichas frankfurt de pollo Campofrío bolsa 3 x 140 g;2.15;5.12
1;Salchichas cocidas frankfurt pikante Schara bolsa 170 g;2.99;17.59
1;Salchichas cocidas bockwurst Meica frasco 250 g;4.99;19.96
1;Salchichas cocidas jumbo con queso Oscar mayer bolsa 350 g;2.55;7.29
1;Filetes de pechuga de pollo Selección de Dia bandeja 550 g aprox.;3.55;6.45
